Listing Title,Cost,Listing ID,Policy Number,Place Type,Number of Bedrooms
Private room in Mission District,82,51027324,Pending,Private Room,1
Guest suite in Mission District,102,724897778179485553,2022-009365STR,Entire Room,1
Hotel room in Mission District,109,41545776,Exempt,Entire Room,1
Private room in Mission District,114,23672181,STR-0002892,Private Room,1
Private room in Mission District,123,6600081,STR-0004333,Private Room,1
Private room in Mission District,125,1623609,STR-0001541,Private Room,1
Private room in Mission District,129,31057117,STR-0004544,Private Room,1
Private room in Mission District,129,38884411,STR-0004069,Private Room,1
Private room in Mission District,133,16204265,1081184,Private Room,1
Private room in Mission District,137,11225011,STR-0001085,Private Room,1
Home in Mission District,174,49043049,Pending,Entire Room,1
Guest suite in San Francisco,174,23354077,STR-0003587,Entire Room,1
Guest suite in Mission District,200,1550913,STR-0000051,Entire Room,1
Loft in Mission District,210,1944564,2022-004088STR,Entire Room,1
Guest suite in Mission District,238,32871760,STR-0004707,Entire Room,1
Guest suite in Mission District,250,51106622,Pending,Entire Room,1
Guest suite in Mission District,285,10280573,STR-0001626,Entire Room,1
Apartment in Mission District,290,4616596,Pending,Entire Room,1
Guest suite in Mission District,305,50010586,STR-0004717,Entire Room,2
Apartment in Mission District,399,28668414,Pending,Entire Room,2
